,Day,Date,Home/Away,Opponent,Score,W/L/T,Overtime,Location,Venue,Attendance,Notes,Team,Team Code
13,Sun,11/9/1930,A,Providence Steam Roller,7-7,T,,"Providence, RI",Providence Cycledrome,,,Frankford Yellow Jackets,fra
14,Sat,11/15/1930,H,Portsmouth Spartans,7-6,W,,"Philadelphia, PA",Frankford Stadium,3500,,Frankford Yellow Jackets,fra
15,Sun,11/16/1930,A,Newark Tornadoes,,-,,"Newark, NJ",Newark Velodrome,,Canceled,Frankford Yellow Jackets,fra
16,Sat,11/22/1930,H,Chicago Bears,6-13,L,,"Philadelphia, PA",Frankford Stadium,6500,,Frankford Yellow Jackets,fra
17,Thu,11/27/1930,H,Green Bay Packers,7-25,L,,"Philadelphia, PA",Frankford Stadium,8000,,Frankford Yellow Jackets,fra
18,Sat,12/6/1930,H,New York Giants,6-14,L,,"Philadelphia, PA",Frankford Stadium,4000,,Frankford Yellow Jackets,fra
0,Sun,9/28/1930,H,Chicago Cardinals,7-7,T,,"Minneapolis, MN",Nicollet Park,,,Minneapolis Redjackets,min
1,Sun,10/5/1930,H,Chicago Bears,0-20,L,,"Minneapolis, MN",Nicollet Park,7000,,Minneapolis Redjackets,min
2,Sun,10/12/1930,H,Portsmouth Spartans,13-0,W,,"Minneapolis, MN",Nicollet Park,2000,,Minneapolis Redjackets,min
3,Sun,10/19/1930,H,Green Bay Packers,0-13,L,,"Minneapolis, MN",Nicollet Park,,,Minneapolis Redjackets,min
4,Sun,10/26/1930,A,Green Bay Packers,0-19,L,,"Green Bay, WI",City Stadium,6000,,Minneapolis Redjackets,min
5,Sun,11/2/1930,A,Chicago Bears,7-20,L,,"Chicago, IL",Wrigley Field,4000,,Minneapolis Redjackets,min
6,Sun,11/9/1930,A,Newark Tornadoes,,-,,"Newark, NJ",Newark Velodrome,,Canceled,Minneapolis Redjackets,min
7,Sun,11/9/1930,A,Brooklyn Dodgers,0-34,L,,"New York, NY",Ebbets Field,12000,,Minneapolis Redjackets,min
8,Sun,11/16/1930,A,Staten Island Stapletons,,-,,"New York, NY",Thompson's Stadium,,Canceled,Minneapolis Redjackets,min
9,Sun,11/23/1930,A,Providence Steam Roller,0-10,L,,"Providence, RI",Providence Cycledrome,,,Minneapolis Redjackets,min
10,Sun,11/30/1930,A,Chicago Cardinals,,-,,"Chicago, IL",Comiskey Park,,Canceled,Minneapolis Redjackets,min
11,Sun,12/7/1930,A,Portsmouth Spartans,0-42,L,,"Portsmouth, OH",Universal Stadium,3500,,Minneapolis Redjackets,min
0,Sun,9/14/1930,A,Portsmouth Spartans,6-13,L,,"Portsmouth, OH",Universal Stadium,4000,,Newark Tornadoes,new
1,Wed,9/17/1930,H,New York Giants,0-32,L,,"Newark, NJ",Newark Schools Stadium,6000,,Newark Tornadoes,new
2,Sun,9/21/1930,A,Staten Island Stapletons,6-12,L,,"New York, NY",Thompson's Stadium,7500,,Newark Tornadoes,new
3,Tue,9/23/1930,H,Frankford Yellow Jackets,6-13,L,,"Newark, NJ",Newark Schools Stadium,2000,Moved from 9/24,Newark Tornadoes,new
4,Wed,10/1/1930,H,Staten Island Stapletons,7-7,T,,"Newark, NJ",Newark Schools Stadium,8000,,Newark Tornadoes,new
5,Sat,10/4/1930,A,Frankford Yellow Jackets,19-0,W,,"Philadelphia, PA",Frankford Stadium,5000,,Newark Tornadoes,new
6,Sun,10/5/1930,A,Providence Steam Roller,0-14,L,,"Providence, RI",Providence Cycledrome,4500,,Newark Tornadoes,new
