Year,Team,Totals,Points scored in 1st quarter,Points scored in 2nd quarter,Points scored in 3rd quarter,Points scored in 4th quarter,Points scored in overtime,1st quarter,2nd quarter,3rd quarter,4th quarter,Overtime
2014,lgb,Team Totals,50,60,56,87,,,,,,
2014,lgb,Opponents Totals,116,127,106,103,,,,,,
2014,lsea,Team Totals,95,140,110,119,3,,,,,
2014,lsea,Opponents Totals,76,92,58,123,3,,,,,
2014,ari,Team Totals,130,117,128,99,,,,,,
2014,ari,Opponents Totals,103,110,84,103,,,,,,
2014,roc,Team Totals,79,132,71,98,,,,,,
2014,roc,Opponents Totals,84,86,133,97,,,,,,
2014,lne,Team Totals,53,94,78,73,3,,,,,
2014,lne,Opponents Totals,86,133,82,137,0,,,,,
2014,lnyg,Team Totals,151,159,84,92,,,,,,
2014,lnyg,Opponents Totals,58,88,69,133,,,,,,
2014,ind,Team Totals,71,86,60,104,,,,,,
2014,ind,Opponents Totals,73,84,54,71,,,,,,
2014,oor,Team Totals,82,94,37,100,12,,,,,
2014,oor,Opponents Totals,76,102,70,95,0,,,,,
2014,cin,Team Totals,56,78,82,103,0,,,,,
2014,cin,Opponents Totals,88,173,94,84,3,,,,,
2014,nyj,Team Totals,66,76,79,115,3,,,,,
2014,nyj,Opponents Totals,76,121,71,103,3,,,,,
2014,gb,Team Totals,55,116,76,148,6,,,,,
2014,gb,Opponents Totals,81,115,104,118,6,,,,,
2014,lsf,Team Totals,96,86,105,91,3,,,,,
2014,lsf,Opponents Totals,77,135,66,139,0,,,,,
2014,sf,Team Totals,43,80,52,102,0,,,,,
2014,sf,Opponents Totals,102,103,107,86,12,,,,,
2014,lind,Team Totals,67,117,82,122,6,,,,,
2014,lind,Opponents Totals,57,87,43,67,0,,,,,
2014,bkn,Team Totals,57,96,55,102,,,,,,
2014,bkn,Opponents Totals,78,100,57,64,,,,,,
2014,lmia,Team Totals,92,121,57,33,3,,,,,
2014,lmia,Opponents Totals,81,85,93,78,3,,,,,
2014,lcle,Team Totals,95,98,48,83,,,,,,
2014,lcle,Opponents Totals,42,93,106,113,,,,,,
2015,ne,Team Totals,89,146,100,130,0,,,,,
2015,ne,Opponents Totals,36,90,73,104,12,,,,,
2015,lbuf,Team Totals,76,98,93,111,9,,,,,
2015,lbuf,Opponents Totals,33,136,71,74,0,,,,,
2015,lten,Team Totals,87,103,77,112,,,,,,
2015,lten,Opponents Totals,59,126,104,70,,,,,,
2015,bos,Team Totals,47,113,67,83,,,,,,
2015,bos,Opponents Totals,96,127,65,101,,,,,,
2015,phi,Team Totals,90,126,92,108,3,,,,,
2015,phi,Opponents Totals,37,70,76,93,3,,,,,
2015,dal,Team Totals,63,134,81,145,0,,,,,
2015,dal,Opponents Totals,64,92,37,123,3,,,,,
2015,pit,Team Totals,64,88,58,115,3,,,,,
2015,pit,Opponents Totals,80,124,91,103,3,,,,,
2015,stl,Team Totals,50,90,48,87,3,,,,,
2015,stl,Opponents Totals,98,116,88,127,3,,,,,
2015,c-p,Team Totals,59,76,81,123,,,,,,
2015,c-p,Opponents Totals,72,132,51,68,,,,,,
2015,si,Team Totals,61,101,59,106,6,,,,,
