Year,Team,Totals,1st,2nd,3rd,4th,YDS,TOP,Rushing,Passing,Penalty,3RD DOWN EFFICIENCY,4TH DOWN EFFICIENCY,PEN,OT
1988,det,Opponents Totals,31,92,77,91,,,,,,,,,3
1988,lac,Team Totals,81,146,92,88,,,,,,,,,
1988,lac,Opponents Totals,37,94,76,86,,,,,,,,,
1988,ton,Team Totals,64,93,101,54,,,,,,,,,
1988,ton,Opponents Totals,51,111,70,51,,,,,,,,,
1988,nyb,Team Totals,33,82,45,84,,,,,,,,,
1988,nyb,Opponents Totals,50,89,75,101,,,,,,,,,
1989,lkc,Team Totals,59,117,92,135,,,,,,,,,6
1989,lkc,Opponents Totals,62,44,88,123,,,,,,,,,0
1989,har,Team Totals,53,66,53,120,,,,,,,,,6
1989,har,Opponents Totals,67,82,58,91,,,,,,,,,3
1989,llarm,Team Totals,78,96,73,81,,,,,,,,,3
1989,llarm,Opponents Totals,57,128,77,117,,,,,,,,,0
1989,min,Team Totals,47,66,71,110,,,,,,,,,3
1989,min,Opponents Totals,82,144,58,107,,,,,,,,,0
1989,larm,Team Totals,37,74,60,82,,,,,,,,,
1989,larm,Opponents Totals,53,133,119,106,,,,,,,,,
1989,bal,Team Totals,48,112,104,64,,,,,,,,,6
1989,bal,Opponents Totals,34,67,82,62,,,,,,,,,9
1989,lten,Team Totals,50,128,85,102,,,,,,,,,0
1989,lten,Opponents Totals,95,106,97,108,,,,,,,,,6
1989,dul,Team Totals,57,91,72,45,,,,,,,,,
1989,dul,Opponents Totals,78,110,60,78,,,,,,,,,
1989,atl,Team Totals,61,147,98,98,,,,,,,,,
1989,atl,Opponents Totals,50,97,56,82,,,,,,,,,
1989,ham,Team Totals,84,114,57,104,,,,,,,,,3
1989,ham,Opponents Totals,44,53,50,76,,,,,,,,,3
1989,jac,Team Totals,67,137,53,61,,,,,,,,,0
1989,jac,Opponents Totals,74,83,47,82,,,,,,,,,0
1989,lind,Team Totals,67,87,91,67,,,,,,,,,3
1989,lind,Opponents Totals,77,77,65,78,,,,,,,,,0
1989,was,Team Totals,72,60,41,68,,,,,,,,,0
1989,was,Opponents Totals,81,80,86,77,,,,,,,,,3
1989,col,Team Totals,52,43,67,104,,,,,,,,,
1989,col,Opponents Totals,42,92,67,89,,,,,,,,,
1989,tol,Team Totals,77,83,100,88,,,,,,,,,
1989,tol,Opponents Totals,55,66,38,93,,,,,,,,,
1989,ltb,Team Totals,61,91,84,106,,,,,,,,,
1989,ltb,Opponents Totals,74,74,47,79,,,,,,,,,
1989,lmin,Team Totals,80,82,127,97,,,,,,,,,
1989,lmin,Opponents Totals,76,99,47,86,,,,,,,,,
1989,c-p,Team Totals,43,76,51,88,,,,,,,,,
1989,c-p,Opponents Totals,68,99,90,120,,,,,,,,,
1989,chit,Team Totals,47,70,35,52,,,,,,,,,
1989,chit,Opponents Totals,84,118,90,101,,,,,,,,,
1989,nyj,Team Totals,80,139,80,50,,,,,,,,,2
1989,nyj,Opponents Totals,54,47,55,113,,,,,,,,,6
1989,dal,Team Totals,71,74,89,125,,,,,,,,,3
1989,dal,Opponents Totals,77,157,70,52,,,,,,,,,0
1989,latl,Team Totals,68,108,65,71,,,,,,,,,0
1989,latl,Opponents Totals,29,156,89,87,,,,,,,,,3
1989,lbuf,Team Totals,40,108,82,128,,,,,,,,,
1989,lbuf,Opponents Totals,69,111,72,125,,,,,,,,,
1989,stl,Team Totals,58,92,42,128,,,,,,,,,
1989,stl,Opponents Totals,79,144,86,110,,,,,,,,,
1989,det,Team Totals,67,137,64,174,,,,,,,,,
1989,det,Opponents Totals,59,77,53,64,,,,,,,,,
1989,lac,Team Totals,122,124,61,116,,,,,,,,,3
1989,lac,Opponents Totals,50,87,83,122,,,,,,,,,2
1989,ton,Team Totals,105,123,60,98,,,,,,,,,0
1989,ton,Opponents Totals,27,96,89,86,,,,,,,,,3
1989,nyb,Team Totals,43,100,85,51,,,,,,,,,
1989,nyb,Opponents Totals,97,118,123,99,,,,,,,,,
1990,lkc,Team Totals,83,116,69,160,,,,,,,,,
1990,lkc,Opponents Totals,55,74,72,62,,,,,,,,,
1990,har,Team Totals,60,113,77,83,,,,,,,,,3
1990,har,Opponents Totals,30,108,39,65,,,,,,,,,0
1990,llarm,Team Totals,47,68,85,81,,,,,,,,,
1990,llarm,Opponents Totals,87,128,43,95,,,,,,,,,
1990,min,Team Totals,61,131,46,57,,,,,,,,,
1990,min,Opponents Totals,38,100,90,117,,,,,,,,,
1990,larm,Team Totals,30,81,30,40,,,,,,,,,
1990,larm,Opponents Totals,120,128,88,110,,,,,,,,,
1990,bal,Team Totals,79,110,78,90,,,,,,,,,3
1990,bal,Opponents Totals,70,115,101,63,,,,,,,,,3
1990,lten,Team Totals,83,152,70,100,,,,,,,,,0
1990,lten,Opponents Totals,54,95,71,84,,,,,,,,,3
1990,dul,Team Totals,64,71,54,103,,,,,,,,,
1990,dul,Opponents Totals,58,86,56,40,,,,,,,,,
1990,atl,Team Totals,32,57,71,68,,,,,,,,,
1990,atl,Opponents Totals,107,182,61,112,,,,,,,,,
1990,ham,Team Totals,82,84,76,95,,,,,,,,,
1990,ham,Opponents Totals,59,89,33,87,,,,,,,,,
1990,jac,Team Totals,86,123,71,89,,,,,,,,,
1990,jac,Opponents Totals,48,66,62,81,,,,,,,,,
1990,lind,Team Totals,50,94,60,96,,,,,,,,,6
1990,lind,Opponents Totals,50,112,53,68,,,,,,,,,3
1990,was,Team Totals,69,102,75,69,,,,,,,,,0
1990,was,Opponents Totals,54,111,27,86,,,,,,,,,3
1990,col,Team Totals,87,120,46,75,,,,,,,,,3
1990,col,Opponents Totals,60,85,95,131,,,,,,,,,3
1990,tol,Team Totals,66,118,52,99,,,,,,,,,
1990,tol,Opponents Totals,28,72,60,51,,,,,,,,,
1990,ltb,Team Totals,84,104,67,141,,,,,,,,,0
1990,ltb,Opponents Totals,71,81,40,104,,,,,,,,,3
1990,lmin,Team Totals,49,108,103,118,,,,,,,,,3
1990,lmin,Opponents Totals,37,98,75,91,,,,,,,,,0
1990,c-p,Team Totals,50,46,40,108,,,,,,,,,
1990,c-p,Opponents Totals,54,102,52,100,,,,,,,,,
1990,chit,Team Totals,27,81,65,95,,,,,,,,,
1990,chit,Opponents Totals,88,113,79,116,,,,,,,,,
1990,nyj,Team Totals,54,156,70,59,,,,,,,,,9
1990,nyj,Opponents Totals,59,80,53,88,,,,,,,,,0
1990,dal,Team Totals,41,99,50,71,,,,,,,,,3
1990,dal,Opponents Totals,59,112,100,96,,,,,,,,,0
1990,latl,Team Totals,111,102,65,95,,,,,,,,,0
1990,latl,Opponents Totals,86,122,83,113,,,,,,,,,9
1990,lbuf,Team Totals,36,76,57,102,,,,,,,,,
1990,lbuf,Opponents Totals,64,103,88,92,,,,,,,,,
1990,stl,Team Totals,54,131,80,86,,,,,,,,,0
1990,stl,Opponents Totals,76,76,66,105,,,,,,,,,3
1990,det,Team Totals,44,131,84,91,,,,,,,,,3
1990,det,Opponents Totals,64,74,33,68,,,,,,,,,0
1990,lac,Team Totals,54,82,48,90,,,,,,,,,
1990,lac,Opponents Totals,30,82,76,87,,,,,,,,,
1990,ton,Team Totals,62,130,85,68,,,,,,,,,0
1990,ton,Opponents Totals,98,123,74,114,,,,,,,,,3
1990,nyb,Team Totals,94,74,68,112,,,,,,,,,
1990,nyb,Opponents Totals,35,143,72,115,,,,,,,,,
1991,lkc,Team Totals,82,130,106,137,,,,,,,,,3
1991,lkc,Opponents Totals,40,87,92,96,,,,,,,,,3
1991,har,Team Totals,93,84,53,78,,,,,,,,,6
1991,har,Opponents Totals,36,78,91,82,,,,,,,,,6
1991,llarm,Team Totals,55,119,51,115,,,,,,,,,3
1991,llarm,Opponents Totals,65,100,75,106,,,,,,,,,3
1991,min,Team Totals,40,55,23,84,,,,,,,,,9
1991,min,Opponents Totals,53,122,32,98,,,,,,,,,0
1991,larm,Team Totals,24,54,27,38,,,,,,,,,0
1991,larm,Opponents Totals,96,106,88,85,,,,,,,,,6
1991,bal,Team Totals,43,129,64,147,,,,,,,,,3
1991,bal,Opponents Totals,53,81,59,55,,,,,,,,,3
1991,lten,Team Totals,42,53,67,124,,,,,,,,,6
1991,lten,Opponents Totals,61,116,54,113,,,,,,,,,0
1991,dul,Team Totals,57,105,77,48,,,,,,,,,6
1991,dul,Opponents Totals,25,113,51,109,,,,,,,,,0
1991,atl,Team Totals,57,71,64,71,,,,,,,,,0
1991,atl,Opponents Totals,68,163,76,122,,,,,,,,,6
1991,ham,Team Totals,42,111,71,80,,,,,,,,,
1991,ham,Opponents Totals,43,77,49,66,,,,,,,,,
1991,jac,Team Totals,44,91,79,105,,,,,,,,,3
1991,jac,Opponents Totals,58,85,50,59,,,,,,,,,0
1991,lind,Team Totals,58,108,63,66,,,,,,,,,3
1991,lind,Opponents Totals,49,89,52,104,,,,,,,,,3
1991,was,Team Totals,39,78,79,80,,,,,,,,,0
1991,was,Opponents Totals,25,112,47,74,,,,,,,,,3
1991,col,Team Totals,41,95,37,101,,,,,,,,,0
1991,col,Opponents Totals,63,97,73,100,,,,,,,,,9
1991,tol,Team Totals,83,150,101,148,,,,,,,,,3
1991,tol,Opponents Totals,54,57,55,58,,,,,,,,,0
1991,ltb,Team Totals,91,105,35,111,,,,,,,,,0
1991,ltb,Opponents Totals,61,89,66,91,,,,,,,,,3
1991,lmin,Team Totals,41,109,53,82,,,,,,,,,
1991,lmin,Opponents Totals,72,71,38,63,,,,,,,,,
1991,c-p,Team Totals,81,89,58,53,,,,,,,,,
1991,c-p,Opponents Totals,24,93,51,129,,,,,,,,,
1991,chit,Team Totals,43,68,32,53,,,,,,,,,
1991,chit,Opponents Totals,93,87,84,80,,,,,,,,,
1991,nyj,Team Totals,72,67,77,120,,,,,,,,,3
1991,nyj,Opponents Totals,75,108,58,54,,,,,,,,,0
1991,dal,Team Totals,40,96,71,86,,,,,,,,,6
1991,dal,Opponents Totals,57,72,51,86,,,,,,,,,3
1991,latl,Team Totals,51,91,67,92,,,,,,,,,0
1991,latl,Opponents Totals,51,77,51,124,,,,,,,,,3
1991,lbuf,Team Totals,68,78,55,72,,,,,,,,,0
1991,lbuf,Opponents Totals,47,102,49,112,,,,,,,,,3
1991,stl,Team Totals,30,49,41,79,,,,,,,,,
1991,stl,Opponents Totals,82,111,77,95,,,,,,,,,
1991,det,Team Totals,61,120,75,85,,,,,,,,,0
1991,det,Opponents Totals,23,59,54,72,,,,,,,,,3
1991,lac,Team Totals,84,102,88,84,,,,,,,,,3
1991,lac,Opponents Totals,48,94,70,126,,,,,,,,,0
1991,ton,Team Totals,63,139,64,127,,,,,,,,,
1991,ton,Opponents Totals,30,89,64,56,,,,,,,,,
1991,nyb,Team Totals,22,103,55,54,,,,,,,,,
1991,nyb,Opponents Totals,95,114,76,105,,,,,,,,,
1992,lkc,Team Totals,75,85,87,90,,,,,,,,,3
1992,lkc,Opponents Totals,49,80,71,81,,,,,,,,,0
1992,har,Team Totals,77,118,105,81,,,,,,,,,0
1992,har,Opponents Totals,46,101,72,61,,,,,,,,,3
1992,llarm,Team Totals,38,29,58,85,,,,,,,,,6
1992,llarm,Opponents Totals,80,71,69,79,,,,,,,,,3
1992,min,Team Totals,24,80,56,60,,,,,,,,,0
1992,min,Opponents Totals,57,93,58,104,,,,,,,,,3
1992,larm,Team Totals,61,51,32,58,,,,,,,,,3
1992,larm,Opponents Totals,84,80,88,108,,,,,,,,,3
1992,bal,Team Totals,58,90,51,100,,,,,,,,,
1992,bal,Opponents Totals,33,86,56,50,,,,,,,,,
1992,lten,Team Totals,81,75,80,113,,,,,,,,,3
1992,lten,Opponents Totals,23,96,50,89,,,,,,,,,0
1992,dul,Team Totals,63,31,76,102,,,,,,,,,
1992,dul,Opponents Totals,55,47,80,93,,,,,,,,,
1992,atl,Team Totals,48,84,55,81,,,,,,,,,6
1992,atl,Opponents Totals,81,98,91,94,,,,,,,,,0
1992,ham,Team Totals,69,92,72,102,,,,,,,,,
1992,ham,Opponents Totals,62,46,59,74,,,,,,,,,
1992,jac,Team Totals,53,128,66,101,,,,,,,,,0
1992,jac,Opponents Totals,68,57,64,90,,,,,,,,,3
1992,lind,Team Totals,61,40,63,98,,,,,,,,,0
1992,lind,Opponents Totals,51,121,74,80,,,,,,,,,0
1992,was,Team Totals,43,83,61,62,,,,,,,,,0
1992,was,Opponents Totals,48,98,48,84,,,,,,,,,3
1992,col,Team Totals,20,53,34,30,,,,,,,,,3
1992,col,Opponents Totals,63,87,74,85,,,,,,,,,3
1992,tol,Team Totals,108,116,134,51,,,,,,,,,
1992,tol,Opponents Totals,54,53,51,85,,,,,,,,,
1992,ltb,Team Totals,45,109,89,108,,,,,,,,,3
1992,ltb,Opponents Totals,47,87,30,81,,,,,,,,,0
1992,lmin,Team Totals,79,92,63,66,,,,,,,,,
1992,lmin,Opponents Totals,32,103,40,80,,,,,,,,,
1992,c-p,Team Totals,51,104,86,65,,,,,,,,,
1992,c-p,Opponents Totals,83,110,95,79,,,,,,,,,
1992,chit,Team Totals,58,70,43,72,,,,,,,,,
1992,chit,Opponents Totals,62,108,88,74,,,,,,,,,
1992,nyj,Team Totals,87,91,64,129,,,,,,,,,3
1992,nyj,Opponents Totals,57,92,31,69,,,,,,,,,0
1992,dal,Team Totals,48,115,25,88,,,,,,,,,0
1992,dal,Opponents Totals,73,73,71,76,,,,,,,,,3
1992,latl,Team Totals,60,107,31,69,,,,,,,,,
1992,latl,Opponents Totals,88,70,112,95,,,,,,,,,
1992,lbuf,Team Totals,57,98,51,89,,,,,,,,,0
1992,lbuf,Opponents Totals,58,83,93,124,,,,,,,,,3
1992,stl,Team Totals,37,99,65,72,,,,,,,,,
1992,stl,Opponents Totals,83,82,34,133,,,,,,,,,
1992,det,Team Totals,87,135,78,131,,,,,,,,,
1992,det,Opponents Totals,37,56,74,69,,,,,,,,,
1992,lac,Team Totals,70,86,91,83,,,,,,,,,
1992,lac,Opponents Totals,26,64,31,81,,,,,,,,,
1992,ton,Team Totals,94,96,55,82,,,,,,,,,
1992,ton,Opponents Totals,100,137,96,81,,,,,,,,,
1992,nyb,Team Totals,42,73,86,112,,,,,,,,,
1992,nyb,Opponents Totals,94,151,57,81,,,,,,,,,
1993,lkc,Team Totals,64,113,51,98,,,,,,,,,3
1993,lkc,Opponents Totals,71,62,67,42,,,,,,,,,0
1993,har,Team Totals,100,76,85,88,,,,,,,,,0
1993,har,Opponents Totals,56,126,71,92,,,,,,,,,6
1993,llarm,Team Totals,65,105,37,63,,,,,,,,,
1993,llarm,Opponents Totals,36,77,68,66,,,,,,,,,
1993,min,Team Totals,33,60,54,85,,,,,,,,,6
1993,min,Opponents Totals,41,103,26,110,,,,,,,,,6
1993,larm,Team Totals,19,60,29,81,,,,,,,,,
1993,larm,Opponents Totals,96,96,98,88,,,,,,,,,
1993,bal,Team Totals,68,131,75,94,,,,,,,,,
1993,bal,Opponents Totals,40,73,50,75,,,,,,,,,
1993,lten,Team Totals,38,110,79,81,,,,,,,,,
1993,lten,Opponents Totals,75,102,40,64,,,,,,,,,
1993,dul,Team Totals,56,99,58,91,,,,,,,,,
1993,dul,Opponents Totals,64,110,52,81,,,,,,,,,
1993,atl,Team Totals,41,74,18,54,,,,,,,,,
1993,atl,Opponents Totals,42,119,63,95,,,,,,,,,
1993,ham,Team Totals,71,108,82,67,,,,,,,,,
1993,ham,Opponents Totals,51,86,50,104,,,,,,,,,
1993,jac,Team Totals,77,93,50,83,,,,,,,,,3
1993,jac,Opponents Totals,34,108,57,127,,,,,,,,,0
1993,lind,Team Totals,66,147,91,69,,,,,,,,,0
1993,lind,Opponents Totals,53,82,62,84,,,,,,,,,3
1993,was,Team Totals,66,76,67,113,,,,,,,,,
1993,was,Opponents Totals,50,102,83,55,,,,,,,,,
1993,col,Team Totals,72,64,45,99,,,,,,,,,0
1993,col,Opponents Totals,65,104,66,76,,,,,,,,,3
1993,tol,Team Totals,76,124,86,87,,,,,,,,,3
1993,tol,Opponents Totals,43,46,79,61,,,,,,,,,0
1993,ltb,Team Totals,61,112,43,72,,,,,,,,,0
1993,ltb,Opponents Totals,40,60,40,62,,,,,,,,,3
1993,lmin,Team Totals,36,101,56,97,,,,,,,,,3
1993,lmin,Opponents Totals,65,94,55,101,,,,,,,,,0
1993,c-p,Team Totals,54,98,79,92,,,,,,,,,3
1993,c-p,Opponents Totals,58,84,53,74,,,,,,,,,0
1993,chit,Team Totals,23,77,59,71,,,,,,,,,
1993,chit,Opponents Totals,81,92,69,103,,,,,,,,,
1993,nyj,Team Totals,44,102,62,87,,,,,,,,,3
1993,nyj,Opponents Totals,61,86,78,67,,,,,,,,,0
1993,dal,Team Totals,49,81,83,64,,,,,,,,,
1993,dal,Opponents Totals,67,93,36,94,,,,,,,,,
1993,latl,Team Totals,97,95,77,71,,,,,,,,,
1993,latl,Opponents Totals,29,76,90,87,,,,,,,,,
1993,lbuf,Team Totals,37,85,56,56,,,,,,,,,
1993,lbuf,Opponents Totals,45,83,38,64,,,,,,,,,
1993,stl,Team Totals,19,74,89,55,,,,,,,,,
1993,stl,Opponents Totals,72,133,75,96,,,,,,,,,
1993,det,Team Totals,97,158,108,110,,,,,,,,,0
1993,det,Opponents Totals,44,106,57,85,,,,,,,,,3
1993,lac,Team Totals,66,80,60,111,,,,,,,,,
1993,lac,Opponents Totals,78,106,72,87,,,,,,,,,
1993,ton,Team Totals,60,77,68,111,,,,,,,,,
1993,ton,Opponents Totals,78,116,100,91,,,,,,,,,
1993,nyb,Team Totals,52,40,40,89,,,,,,,,,
1993,nyb,Opponents Totals,72,95,92,108,,,,,,,,,
1994,lkc,Team Totals,22,135,105,124,,,,,,,,,3
1994,lkc,Opponents Totals,85,52,87,100,,,,,,,,,3
1994,har,Team Totals,46,95,94,110,,,,,,,,,6
1994,har,Opponents Totals,53,133,56,70,,,,,,,,,0
1994,llarm,Team Totals,82,86,73,66,,,,,,,,,
1994,llarm,Opponents Totals,48,81,59,132,,,,,,,,,
1994,min,Team Totals,82,120,69,69,,,,,,,,,
1994,min,Opponents Totals,46,115,87,108,,,,,,,,,
1994,larm,Team Totals,40,112,51,58,,,,,,,,,3
1994,larm,Opponents Totals,54,111,72,83,,,,,,,,,0
1994,bal,Team Totals,64,106,20,120,,,,,,,,,6
1994,bal,Opponents Totals,50,86,31,64,,,,,,,,,3
1994,lten,Team Totals,65,121,55,99,,,,,,,,,
1994,lten,Opponents Totals,52,58,28,66,,,,,,,,,
1994,dul,Team Totals,58,66,53,96,,,,,,,,,3
1994,dul,Opponents Totals,85,149,79,93,,,,,,,,,0
1994,atl,Team Totals,45,56,25,100,,,,,,,,,0
1994,atl,Opponents Totals,57,122,60,110,,,,,,,,,3
1994,ham,Team Totals,52,134,95,100,,,,,,,,,
1994,ham,Opponents Totals,51,104,46,105,,,,,,,,,
1994,jac,Team Totals,52,92,79,96,,,,,,,,,0
1994,jac,Opponents Totals,40,84,72,99,,,,,,,,,3
1994,lind,Team Totals,62,94,61,86,,,,,,,,,0
1994,lind,Opponents Totals,72,87,52,113,,,,,,,,,3
1994,was,Team Totals,53,96,102,93,,,,,,,,,3
1994,was,Opponents Totals,64,148,77,104,,,,,,,,,3
1994,col,Team Totals,53,74,49,111,,,,,,,,,0
1994,col,Opponents Totals,48,98,65,109,,,,,,,,,3
1994,tol,Team Totals,100,122,104,88,,,,,,,,,0
1994,tol,Opponents Totals,34,93,46,72,,,,,,,,,3
1994,ltb,Team Totals,64,106,39,70,,,,,,,,,0
1994,ltb,Opponents Totals,44,100,77,81,,,,,,,,,3
1994,lmin,Team Totals,41,66,18,104,,,,,,,,,6
1994,lmin,Opponents Totals,74,83,62,45,,,,,,,,,3
1994,c-p,Team Totals,48,106,81,73,,,,,,,,,
1994,c-p,Opponents Totals,65,73,65,105,,,,,,,,,
1994,chit,Team Totals,44,137,62,77,,,,,,,,,0
1994,chit,Opponents Totals,95,128,81,105,,,,,,,,,3
1994,nyj,Team Totals,74,116,75,82,,,,,,,,,9
1994,nyj,Opponents Totals,51,80,74,100,,,,,,,,,9
1994,dal,Team Totals,89,129,92,72,,,,,,,,,0
1994,dal,Opponents Totals,40,96,65,83,,,,,,,,,3
1994,latl,Team Totals,45,130,82,91,,,,,,,,,9
1994,latl,Opponents Totals,60,148,72,62,,,,,,,,,0
1994,lbuf,Team Totals,40,61,61,106,,,,,,,,,3
1994,lbuf,Opponents Totals,44,116,67,74,,,,,,,,,6
1994,stl,Team Totals,30,94,35,89,,,,,,,,,3
1994,stl,Opponents Totals,75,142,74,60,,,,,,,,,0
1994,det,Team Totals,106,173,103,123,,,,,,,,,
1994,det,Opponents Totals,62,94,64,76,,,,,,,,,
1994,lac,Team Totals,42,132,77,97,,,,,,,,,
1994,lac,Opponents Totals,82,120,83,122,,,,,,,,,
1994,ton,Team Totals,93,76,61,87,,,,,,,,,0
1994,ton,Opponents Totals,61,110,82,129,,,,,,,,,3
1994,nyb,Team Totals,79,100,36,71,,,,,,,,,
1994,nyb,Opponents Totals,79,124,74,88,,,,,,,,,
1995,lkc,Team Totals,73,115,97,65,,,,,,,,,
1995,lkc,Opponents Totals,64,79,89,103,,,,,,,,,
1995,har,Team Totals,78,98,52,97,,,,,,,,,6
1995,har,Opponents Totals,75,86,74,78,,,,,,,,,3
1995,llarm,Team Totals,62,137,93,106,,,,,,,,,0
1995,llarm,Opponents Totals,44,105,95,85,,,,,,,,,3
1995,min,Team Totals,49,84,59,102,,,,,,,,,0
1995,min,Opponents Totals,60,143,72,99,,,,,,,,,3
1995,larm,Team Totals,37,61,65,70,,,,,,,,,0
1995,larm,Opponents Totals,59,128,98,96,,,,,,,,,3
1995,bal,Team Totals,72,137,60,135,,,,,,,,,3
1995,bal,Opponents Totals,33,124,109,61,,,,,,,,,0
1995,lten,Team Totals,52,99,93,102,,,,,,,,,3
1995,lten,Opponents Totals,70,131,56,114,,,,,,,,,3
1995,dul,Team Totals,70,103,85,90,,,,,,,,,0
1995,dul,Opponents Totals,83,98,36,101,,,,,,,,,6
1995,atl,Team Totals,37,97,59,93,,,,,,,,,3
1995,atl,Opponents Totals,89,91,43,133,,,,,,,,,0
1995,ham,Team Totals,64,67,28,116,,,,,,,,,
1995,ham,Opponents Totals,75,138,91,100,,,,,,,,,
1995,jac,Team Totals,70,120,56,97,,,,,,,,,15
1995,jac,Opponents Totals,68,59,29,85,,,,,,,,,0
1995,lind,Team Totals,49,102,69,101,,,,,,,,,0
1995,lind,Opponents Totals,86,107,58,66,,,,,,,,,6
1995,was,Team Totals,79,77,88,119,,,,,,,,,0
1995,was,Opponents Totals,90,128,48,94,,,,,,,,,6
1995,col,Team Totals,96,137,64,91,,,,,,,,,
1995,col,Opponents Totals,72,103,68,102,,,,,,,,,
1995,tol,Team Totals,54,112,97,85,,,,,,,,,0
1995,tol,Opponents Totals,67,99,88,72,,,,,,,,,6
1995,ltb,Team Totals,102,133,83,111,,,,,,,,,6
1995,ltb,Opponents Totals,38,104,78,71,,,,,,,,,0
1995,lmin,Team Totals,83,99,55,78,,,,,,,,,3
1995,lmin,Opponents Totals,71,101,59,107,,,,,,,,,0
1995,c-p,Team Totals,59,90,85,86,,,,,,,,,6
1995,c-p,Opponents Totals,65,126,48,117,,,,,,,,,3
1995,chit,Team Totals,54,116,47,67,,,,,,,,,6
1995,chit,Opponents Totals,81,105,53,98,,,,,,,,,3
1995,nyj,Team Totals,35,108,53,70,,,,,,,,,9
1995,nyj,Opponents Totals,75,136,109,90,,,,,,,,,12
1995,dal,Team Totals,83,146,81,94,,,,,,,,,0
1995,dal,Opponents Totals,41,106,72,92,,,,,,,,,3
1995,latl,Team Totals,113,125,87,111,,,,,,,,,0
1995,latl,Opponents Totals,53,114,67,96,,,,,,,,,6
1995,lbuf,Team Totals,73,130,91,98,,,,,,,,,0
1995,lbuf,Opponents Totals,93,112,66,86,,,,,,,,,3
1995,stl,Team Totals,81,176,67,76,,,,,,,,,12
1995,stl,Opponents Totals,85,99,71,121,,,,,,,,,9
1995,det,Team Totals,48,77,36,71,,,,,,,,,6
1995,det,Opponents Totals,73,106,69,87,,,,,,,,,0
1995,lac,Team Totals,114,161,96,86,,,,,,,,,
1995,lac,Opponents Totals,35,91,81,51,,,,,,,,,
1995,ton,Team Totals,73,144,80,59,,,,,,,,,6
1995,ton,Opponents Totals,94,103,57,92,,,,,,,,,3
1995,nyb,Team Totals,78,87,60,84,,,,,,,,,
1995,nyb,Opponents Totals,62,151,101,104,,,,,,,,,
1995,sea,Team Totals,35,98,78,75,,,,,,,,,3
1995,sea,Opponents Totals,62,106,72,82,,,,,,,,,3
1995,dec,Team Totals,61,75,74,109,,,,,,,,,0
1995,dec,Opponents Totals,71,132,81,61,,,,,,,,,3
1996,lkc,Team Totals,79,123,108,105,,,,,,,,,3
1996,lkc,Opponents Totals,59,105,75,74,,,,,,,,,0
1996,har,Team Totals,37,110,77,89,,,,,,,,,6
1996,har,Opponents Totals,70,63,39,91,,,,,,,,,3
1996,llarm,Team Totals,57,94,65,98,,,,,,,,,3
1996,llarm,Opponents Totals,60,123,66,82,,,,,,,,,3
1996,min,Team Totals,57,120,84,78,,,,,,,,,
1996,min,Opponents Totals,72,89,71,93,,,,,,,,,
1996,larm,Team Totals,54,100,50,75,,,,,,,,,
1996,larm,Opponents Totals,51,144,107,152,,,,,,,,,
1996,bal,Team Totals,84,115,92,53,,,,,,,,,
1996,bal,Opponents Totals,67,85,42,63,,,,,,,,,
1996,lten,Team Totals,68,80,80,94,,,,,,,,,3
1996,lten,Opponents Totals,70,117,65,80,,,,,,,,,3
1996,dul,Team Totals,57,111,65,139,,,,,,,,,0
1996,dul,Opponents Totals,67,105,86,108,,,,,,,,,3
1996,atl,Team Totals,105,79,67,91,,,,,,,,,3
1996,atl,Opponents Totals,64,78,48,129,,,,,,,,,0
1996,ham,Team Totals,70,129,64,102,,,,,,,,,6
1996,ham,Opponents Totals,88,128,92,130,,,,,,,,,3
1996,jac,Team Totals,131,132,65,63,,,,,,,,,
1996,jac,Opponents Totals,52,77,78,68,,,,,,,,,
1996,lind,Team Totals,61,108,38,90,,,,,,,,,
1996,lind,Opponents Totals,81,76,72,71,,,,,,,,,
1996,was,Team Totals,113,79,45,73,,,,,,,,,
1996,was,Opponents Totals,71,125,71,109,,,,,,,,,
1996,col,Team Totals,42,128,83,87,,,,,,,,,0
1996,col,Opponents Totals,69,65,65,88,,,,,,,,,6
1996,tol,Team Totals,53,117,57,90,,,,,,,,,
1996,tol,Opponents Totals,85,111,64,116,,,,,,,,,
1996,ltb,Team Totals,60,85,57,81,,,,,,,,,3
1996,ltb,Opponents Totals,52,80,51,67,,,,,,,,,0
1996,lmin,Team Totals,98,88,64,113,,,,,,,,,
1996,lmin,Opponents Totals,64,119,73,85,,,,,,,,,
1996,c-p,Team Totals,56,123,97,88,,,,,,,,,0
1996,c-p,Opponents Totals,39,110,68,89,,,,,,,,,6
1996,chit,Team Totals,39,70,51,134,,,,,,,,,6
1996,chit,Opponents Totals,56,130,90,121,,,,,,,,,0
1996,nyj,Team Totals,37,107,45,53,,,,,,,,,0
1996,nyj,Opponents Totals,75,90,39,90,,,,,,,,,3
1996,dal,Team Totals,76,125,136,116,,,,,,,,,3
1996,dal,Opponents Totals,32,96,25,57,,,,,,,,,0
1996,latl,Team Totals,50,93,51,101,,,,,,,,,3
1996,latl,Opponents Totals,53,88,80,94,,,,,,,,,0
1996,lbuf,Team Totals,70,89,57,67,,,,,,,,,
1996,lbuf,Opponents Totals,48,140,62,55,,,,,,,,,
1996,stl,Team Totals,46,76,38,58,,,,,,,,,3
1996,stl,Opponents Totals,64,91,71,67,,,,,,,,,0
1996,det,Team Totals,52,124,69,57,,,,,,,,,
