Year,Team,Totals,1st,2nd,3rd,4th,YDS,TOP,Rushing,Passing,Penalty,3RD DOWN EFFICIENCY,4TH DOWN EFFICIENCY,PEN,OT
1923,lmin,Team Totals,6,3,0,7,,,,,,,,,
1923,lmin,Opponents Totals,12,23,12,48,,,,,,,,,
1923,c-p,Team Totals,15,6,9,13,,,,,,,,,
1923,c-p,Opponents Totals,,,,,,,,,,,,,
1923,chit,Team Totals,0,0,0,0,,,,,,,,,
1923,chit,Opponents Totals,32,30,7,14,,,,,,,,,
1923,nyj,Team Totals,0,6,0,0,,,,,,,,,
1923,nyj,Opponents Totals,,,,,,,,,,,,,
1924,lkc,Team Totals,52,68,28,81,,,,,,,,,
1924,lkc,Opponents Totals,24,13,16,7,,,,,,,,,
1924,har,Team Totals,23,44,25,44,,,,,,,,,
1924,har,Opponents Totals,,,14,13,,,,,,,,,
1924,llarm,Team Totals,78,108,62,78,,,,,,,,,
1924,llarm,Opponents Totals,7,23,19,60,,,,,,,,,
1924,min,Team Totals,,,12,18,,,,,,,,,
1924,min,Opponents Totals,7,6,3,0,,,,,,,,,
1924,larm,Team Totals,,,,,,,,,,,,,
1924,larm,Opponents Totals,6,9,0,23,,,,,,,,,
1924,bal,Team Totals,20,19,26,43,,,,,,,,,
1924,bal,Opponents Totals,6,10,3,19,,,,,,,,,
1924,lten,Team Totals,26,20,14,9,,,,,,,,,
1924,lten,Opponents Totals,7,3,16,18,,,,,,,,,
1924,dul,Team Totals,31,27,20,12,,,,,,,,,
1924,dul,Opponents Totals,23,17,21,6,,,,,,,,,
1924,atl,Team Totals,33,26,30,31,,,,,,,,,
1924,atl,Opponents Totals,27,33,23,57,,,,,,,,,
1924,ham,Team Totals,,,21,21,,,,,,,,,
1924,ham,Opponents Totals,12,23,3,30,,,,,,,,,
1924,jac,Team Totals,12,0,0,6,,,,,,,,,
1924,jac,Opponents Totals,20,3,6,16,,,,,,,,,
1924,lind,Team Totals,21,48,44,29,,,,,,,,,
1924,lind,Opponents Totals,24,54,31,79,,,,,,,,,
1924,was,Team Totals,7,20,13,19,,,,,,,,,
1924,was,Opponents Totals,45,53,14,20,,,,,,,,,
1924,col,Team Totals,6,13,3,23,,,,,,,,,
1924,col,Opponents Totals,,,,,,,,,,,,,
1924,tol,Team Totals,10,0,0,36,,,,,,,,,
1924,tol,Opponents Totals,38,27,36,23,,,,,,,,,
1924,ltb,Team Totals,0,0,6,6,,,,,,,,,
1924,ltb,Opponents Totals,,,,,,,,,,,,,
1924,lmin,Team Totals,0,7,0,7,,,,,,,,,
1924,lmin,Opponents Totals,27,46,21,14,,,,,,,,,
1924,c-p,Team Totals,0,0,0,7,,,,,,,,,
1924,c-p,Opponents Totals,23,59,20,54,,,,,,,,,
1925,lkc,Team Totals,43,86,24,76,,,,,,,,,
1925,lkc,Opponents Totals,12,34,6,13,,,,,,,,,
1925,har,Team Totals,47,84,53,86,,,,,,,,,
1925,har,Opponents Totals,0,16,16,13,,,,,,,,,
1925,llarm,Team Totals,41,29,30,29,,,,,,,,,
1925,llarm,Opponents Totals,0,7,6,26,,,,,,,,,
1925,min,Team Totals,14,7,14,30,,,,,,,,,
1925,min,Opponents Totals,20,17,7,7,,,,,,,,,
1925,larm,Team Totals,46,37,15,24,,,,,,,,,
1925,larm,Opponents Totals,21,27,3,16,,,,,,,,,
1925,bal,Team Totals,52,55,27,56,,,,,,,,,
1925,bal,Opponents Totals,39,43,31,56,,,,,,,,,
1925,lten,Team Totals,42,42,19,55,,,,,,,,,
1925,lten,Opponents Totals,12,34,28,22,,,,,,,,,
1925,dul,Team Totals,9,21,14,55,,,,,,,,,
1925,dul,Opponents Totals,10,22,10,16,,,,,,,,,
1925,atl,Team Totals,3,41,27,80,,,,,,,,,
1925,atl,Opponents Totals,24,24,13,49,,,,,,,,,
1925,ham,Team Totals,16,38,28,29,,,,,,,,,
1925,ham,Opponents Totals,14,21,19,47,,,,,,,,,
1925,jac,Team Totals,12,17,7,14,,,,,,,,,
1925,jac,Opponents Totals,0,13,27,33,,,,,,,,,
1925,lind,Team Totals,0,24,25,26,,,,,,,,,
1925,lind,Opponents Totals,65,16,10,44,,,,,,,,,
1925,was,Team Totals,16,25,7,17,,,,,,,,,
1925,was,Opponents Totals,16,27,20,34,,,,,,,,,
1925,col,Team Totals,3,14,0,6,,,,,,,,,
